,adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor,Latitude,Longitude,NearbyPOIs
0,tegnérlunden 6,1973,3.0,5400000, 27 januari 2022,14,108000,vasastan,50,2,,59.3387518737797,18.054656982421875,138.0
1,sveavägen 93,1793,2.0,3800000, 27 januari 2022,9,105556,vasastan,36,1,1.0,59.34540430877549,18.05328369140625,99.0
2,norrbackagatan 27a,1608,3.0,4200000, 27 januari 2022,17,110526,vasastan,38,1,4.0,59.34365379431907,18.02925109863281,34.0
3,tomtebogatan 30b,2789,2.0,8800000, 27 januari 2022,,125714,vasastan,70,3,,59.34190318962736,18.029937744140625,43.0
4,vanadisvägen 39,1447,,3110000, 27 januari 2022,25,129583,vasastan,24,1,,59.34505421310287,18.040924072265625,73.0
5,kammakargatan 64,2183,2.0,3150000, 27 januari 2022,11,108621,vasastan,29,1,2.0,59.33700101641311,18.05328369140625,106.0
6,norrbackagatan 42,2831,,7900000, 27 januari 2022,32,138596,vasastan,57,2,,59.34155305786052,18.03131103515625,55.0
7,gästrikegatan 8,4966,3.0,12000000, 27 januari 2022,14,141176,vasastan,85,3,,59.34120292248412,18.04023742675781,76.0
8,falugatan 17,2625,,4750000, 26 januari 2022,19,107955,vasastan,44,2,,59.34400390442908,18.03680419921875,97.0
9,sveavägen 117a,2156,2.0,7800000, 26 januari 2022,12,127869,vasastan,61,2,,59.34680465537325,18.051910400390625,73.0
10,gävlegatan 32,1750,3.0,4500000, 26 januari 2022,16,128571,vasastan,35,2,8.0,59.34715473299961,18.033370971679688,16.0
11,sankt eriksgatan 106,3196,3.0,13750000, 26 januari 2022,10,120614,vasastan,114,4,4.0,59.344354010929706,18.04023742675781,74.0
12,norrbackagatan 14,1557,2.0,2900000, 26 januari 2022,12,120833,vasastan,24,1,,59.3387518737797,18.032684326171875,92.0
13,tomtebogatan 3,565,3.0,3050000, 26 januari 2022,9,152500,vasastan,20,1,,59.34120292248412,18.03680419921875,99.0
14,david bagares gata 12a,1347,,3500000, 26 januari 2022,11,134615,vasastan,26,1,,59.33735119510607,18.068389892578125,196.0
15,idungatan 1b,1759,3.0,3150000, 25 januari 2022,5,101613,vasastan,31,1,,59.348204944223866,18.04779052734375,45.0
16,rörstrandsgatan 40,3465,3.0,12000000, 25 januari 2022,10,126316,vasastan,95,3,2.0,59.34120292248412,18.028564453125,32.0
17,ynglingagatan 25 & 27,3075,2.0,10025000, 25 januari 2022,22,133667,vasastan,75,3,5.0,59.348204944223866,18.0450439453125,41.0
18,norrtullsgatan 41,4392,3.0,16125000, 25 januari 2022,4,153571,vasastan,105,4,,59.34540430877549,18.04847717285156,108.0
19,döbelnsgatan 47,1887,2.0,4625000, 25 januari 2022,22,132143,vasastan,35,2,1.0,59.34190318962736,18.06015014648437,184.0
20,idungatan 10,5539,,12000000, 25 januari 2022,17,120000,vasastan,100,3,,59.348204944223866,18.046417236328125,43.0
21,surbrunnsgatan 46,380,3.0,7750000, 25 januari 2022,24,131356,vasastan,59,2,1.0,59.34505421310287,18.054656982421875,120.0
22,norrbackagatan 26,3488,3.0,9815000, 25 januari 2022,28,138239,vasastan,71,3,3.0,59.33980234488247,18.03062438964844,65.0
23,falugatan 18,1941,,4560000, 25 januari 2022,27,126667,vasastan,36,2,1.0,59.34470411382097,18.036117553710938,81.0
24,rödabergsgatan 7,3086,,6225000, 25 januari 2022,7,107328,vasastan,58,2,1.0,59.34400390442908,18.036117553710938,103.0
