adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
frejgatan 50,2391,1.0,6450000, 15 januari 2022,,153571,vasastan,42,2,
rådmansgatan 86,2021,4.0,7200000, 15 januari 2022,13,122034,vasastan,59,2,
sankt eriksgatan 109,436,2.0,3150000, 14 januari 2022,19,126000,vasastan,25,1,
torsgatan 58,1733,2.0,3435000, 14 januari 2022,15,110806,vasastan,31,1,1
torsplan 8,3950,3.0,10000000, 14 januari 2022,11,153846,vasastan,65,3,9
tulegatan 27,680,3.0,3650000, 14 januari 2022,22,146000,vasastan,25,1,2
sankt eriksplan 5,2084,3.0,8000000, 14 januari 2022,15,135593,vasastan,59,2,
hagagatan 18a,2724,1.0,6200000, 14 januari 2022,7,124000,vasastan,50,2,2
dalagatan 35c,3922,3.0,12810000, 13 januari 2022,22,147241,vasastan,87,3,4
hagagatan 8,1280,1.0,4350000, 13 januari 2022,14,155357,vasastan,28,1,2
drejargatan 4,1199,2.0,3380000, 13 januari 2022,,130000,vasastan,26,1,
ingemarsgatan 3b,1780,2.0,4150000, 13 januari 2022,19,115278,vasastan,36,2,
vegagatan 3,4285,3.0,17250000, 13 januari 2022,10,138000,vasastan,125,4,3
roslagsgatan 54,1509,2.0,3300000, 13 januari 2022,32,137500,vasastan,24,1,3
torsplan 8,3657,3.0,7250000, 13 januari 2022,12,122881,vasastan,59,2,
norrtullsgatan 63,2800,3.0,5550000, 13 januari 2022,11,99107,vasastan,56,2,4
norra stationsgatan 117,1808,1.0,3800000, 12 januari 2022,27,122581,vasastan,31,1,4
sankt eriksgatan 65,4048,2.0,8950000, 12 januari 2022,5,104070,vasastan,86,2,3
dalagatan 78c,1862,,5100000, 12 januari 2022,19,108511,vasastan,47,2,
upplandsgatan 34,2415,3.0,7300000, 12 januari 2022,28,130357,vasastan,56,2,6
norrtullsgatan 16 b,2305,3.0,7275000, 12 januari 2022,18,108582,vasastan,67,3,6
odengatan 92,839,2.0,5620000, 12 januari 2022,41,151892,vasastan,37,1,4
idungatan 5,2022,3.0,4520000, 12 januari 2022,21,115897,vasastan,39,2,4
västmannagatan 50,3701,,5700000, 12 januari 2022,25,95000,vasastan,60,2,5
hagagatan 8a,1280,1.0,4250000, 11 januari 2022,33,157407,vasastan,27,2,
torsplan 8,4908,3.0,11200000, 11 januari 2022,7,131765,vasastan,85,4,6
sveavägen 83,850,2.0,3200000, 11 januari 2022,31,139130,vasastan,23,1,
karlbergsvägen 66a,4819,,12750000, 11 januari 2022,7,132813,vasastan,96,4,
markvardsgatan 6a,1660,3.0,4900000, 11 januari 2022,±0,144118,vasastan,34,2,
rådmansgatan 73,3623,3.0,15100000, 10 januari 2022,26,139815,vasastan,108,3,4
emmy rappes gata 3,3977,2.0,6995000, 10 januari 2022,±0,105985,vasastan,66,2,3
sveavägen 140,600,2.0,3200000, 10 januari 2022,23,133333,vasastan,24,1,
rådmansgatan 75,2085,2.0,4400000, 10 januari 2022,11,125714,vasastan,35,1,
rörstrandsgatan 42a,2252,1.0,7800000, 10 januari 2022,16,136842,vasastan,57,3,
dalagatan 70,3086,1.0,9800000, 8 januari 2022,11,122500,vasastan,80,4,4
völundsgatan 11,2147,2.0,4600000, 7 januari 2022,±0,121053,vasastan,38,2,
torsgatan 40a,3082,1.0,6150000, 6 januari 2022,,113889,vasastan,54,2,3
vulcanusgatan 13,1986,2.0,4600000, 5 januari 2022,15,121053,vasastan,38,2,
frejgatan 50,2553,,6800000, 5 januari 2022,,144681,vasastan,47,2,2
torsgatan 78,2454,,5350000, 4 januari 2022,,113830,vasastan,47,2,
upplandsgatan 49,3459,3.0,6200000, 4 januari 2022,3,96875,vasastan,64,3,3
karlbergsvägen 45,2343,3.0,13320000, 23 december 2021,±0,180000,vasastan,74,3,
birkagatan 34,3650,3.0,20700000, 23 december 2021,±0,180000,vasastan,115,4,
luntmakargatan 67,2486,3.0,7600000, 21 december 2021,±0,149020,vasastan,51,2,
torsgatan 40 a,1897,1.0,3550000, 20 december 2021,,126786,vasastan,28,1,1
torsplan 8,4132,3.0,6800000, 20 december 2021,-1,98551,vasastan,69,2,
torsplan 10,5011,3.0,15700000, 19 december 2021,±0,180460,vasastan,87,3,
rörstrandsgatan 17,3776,2.0,15700000, 18 december 2021,,136522,vasastan,115,4,3
dannemoragatan 14,1518,2.0,4400000, 18 december 2021,,125714,vasastan,35,2,5
bråvallagatan 9a,1931,2.0,4350000, 17 december 2021,24,117568,vasastan,37,2,
hälsingegatan 1,3192,3.0,14580000, 17 december 2021,30,158478,vasastan,92,3,2
karlbergsvägen 47b,2425,1.0,8400000, 17 december 2021,16,140000,vasastan,60,2,
roslagsgatan 53,1710,,3450000, 16 december 2021,3,104545,vasastan,33,1,1
birger jarlsgatan 115 a,1749,,4375000, 16 december 2021,22,125000,vasastan,35,2,
frejgatan 34,2345,3.0,5425000, 16 december 2021,±0,126163,vasastan,43,2,5
rörstrandsgatan 22a,2364,3.0,8550000, 15 december 2021,23,140164,vasastan,61,2,4
birger jarlsgatan 67,2474,,8400000, 15 december 2021,6,92308,vasastan,91,3,
norrbackagatan 14,1695,2.0,3350000, 14 december 2021,16,124074,vasastan,27,1,3
sigtunagatan 10,1076,4.0,4950000, 14 december 2021,19,126923,vasastan,39,2,
odengatan 48a,2645,1.0,7400000, 14 december 2021,19,132143,vasastan,56,2,3
birger jarlsgatan 95,2198,,7650000, 14 december 2021,,139091,vasastan,55,2,
dalagatan 44 a,546,1.0,3700000, 14 december 2021,-7,160870,vasastan,23,2,3
frejgatan 37,3682,3.0,7900000, 14 december 2021,13,109722,vasastan,72,3,2
frejgatan 10,995,3.0,8300000, 14 december 2021,25,143103,vasastan,58,2,2
vikingagatan 22b,1926,2.0,7400000, 13 december 2021,,129825,vasastan,57,2,3
rödabergsgatan 4,2451,,5200000, 12 december 2021,±0,118182,vasastan,44,2,
döbelnsgatan 58,2373,2.0,5945000, 10 december 2021,±0,97459,vasastan,61,2,1
rörstrandsgatan 31,2140,3.0,12500000, 10 december 2021,28,164474,vasastan,76,3,6
karlbergsvägen 51,1491,2.0,3500000, 10 december 2021,21,129630,vasastan,27,1,1
norrbackagatan 60,4248,3.0,8450000, 10 december 2021,13,109740,vasastan,77,3,2
luntmakargatan 86b,4387,3.0,7700000, 9 december 2021,13,100000,vasastan,77,3,2
rådmansgatan 56,966,2.0,3500000, 9 december 2021,-5,94595,vasastan,37,1,6
torsgatan 49,1626,,3960000, 8 december 2021,6,104211,vasastan,38,1,
västmannagatan 87 b,2207,3.0,6550000, 8 december 2021,11,121296,vasastan,54,2,1
odengatan 27 3tr,0,3.0,18100000, 8 december 2021,13,135075,vasastan,134,3,
birkagatan 35,1730,1.0,5945000, 8 december 2021,19,135114,vasastan,44,2,
hagagatan 1,3764,2.0,7995000, 8 december 2021,±0,94059,vasastan,85,4,6
roslagsgatan 23,2693,2.0,6720000, 8 december 2021,13,120000,vasastan,56,2,
dannemoragatan 14,1827,2.0,4560000, 8 december 2021,18,120000,vasastan,38,2,3
upplandsgatan 47,2170,3.0,7500000, 8 december 2021,11,136364,vasastan,55,2,
hagaesplanaden 61,3935,3.0,8060000, 8 december 2021,-2,115143,vasastan,70,3,7
frejgatan 19,2890,3.0,12300000, 8 december 2021,13,143023,vasastan,86,4,
vegagatan 6,3890,1.0,11800000, 8 december 2021,15,135632,vasastan,87,3,
rörstrandsgatan 37,1795,3.0,7750000, 7 december 2021,11,123016,vasastan,63,3,3
observatoriegatan 23,3745,3.0,13800000, 7 december 2021,31,153333,vasastan,90,3,4
sonja kovalevskys gata 11,1750,2.0,4535000, 7 december 2021,,129571,vasastan,35,2,12
dalagatan 70a,3087,1.0,10200000, 7 december 2021,13,132468,vasastan,77,3,
upplandsgatan 46,1695,3.0,8050000, 7 december 2021,15,136441,vasastan,59,2,4
tomtebogatan 15a,1936,3.0,7750000, 7 december 2021,25,133621,vasastan,58,2,1
rödabergsgatan 10,4442,2.0,10875000, 7 december 2021,14,110969,vasastan,98,3,1
karlbergsvägen 48,4747,3.0,12550000, 7 december 2021,7,120673,vasastan,104,4,4
nina einhorns gata 1,2127,3.0,4450000, 7 december 2021,13,105952,vasastan,42,2,7
atlasgatan 12,1279,,3450000, 7 december 2021,15,118966,vasastan,29,1,
birger jarlsgatan 119,2141,3.0,6520000, 7 december 2021,9,112414,vasastan,58,3,
döbelnsgatan 63 a,2099,1.0,5700000, 6 december 2021,27,142500,vasastan,40,2,2
roslagsgatan 49,1602,2.0,3325000, 6 december 2021,15,118750,vasastan,28,1,2
tre liljor 3,1676,2.0,5700000, 6 december 2021,10,109615,vasastan,52,2,
falugatan 21,3130,,7100000, 6 december 2021,9,104412,vasastan,68,2,2
karlbergsvägen 23,6382,3.0,25000000, 4 december 2021,10,155280,vasastan,161,5,
sankt eriksplan 17,1545,2.0,3650000, 3 december 2021,11,114063,vasastan,32,1,3
hagagatan 1,2742,2.0,5350000, 3 december 2021,14,89167,vasastan,60,2,4
torsplan 8,4611,3.0,10350000, 3 december 2021,4,131013,vasastan,79,3,9
roslagsgatan 54,1923,2.0,3415000, 3 december 2021,34,131346,vasastan,26,1,3
hälsingegatan 14c,1981,2.0,7600000, 2 december 2021,10,111765,vasastan,68,2,
sankt eriksplan 15,1512,2.0,4300000, 2 december 2021,13,116216,vasastan,37,2,
tomtebogatan 1a,1100,2.0,4700000, 2 december 2021,4,100000,vasastan,47,1,2
norrbackagatan 16,1204,2.0,2720000, 2 december 2021,14,123636,vasastan,22,1,
rörstrandsgatan 64,1890,3.0,8600000, 2 december 2021,15,122857,vasastan,70,3,
karlbergsvägen 87a,2895,3.0,7500000, 2 december 2021,14,125000,vasastan,60,2,4
torsgatan 38a ,3914,2.0,11500000, 2 december 2021,7,121053,vasastan,95,4,
dalagatan 86h,2204,3.0,4850000, 2 december 2021,14,131081,vasastan,37,2,
karlbergsvägen 43 a,1885,3.0,8062500, 2 december 2021,12,130040,vasastan,62,2,
dalagatan 35a,2538,3.0,6100000, 1 december 2021,6,115094,vasastan,53,2,
sveavägen 133,3737,2.0,6350000, 1 december 2021,1,88194,vasastan,72,2,1
rödabergsgatan 5,4311,,9550000, 1 december 2021,9,104945,vasastan,91,3,
dalagatan 86e,2204,2.0,3875000, 1 december 2021,12,104730,vasastan,37,1,4
rörstrandsgatan 32,4847,,16600000, 1 december 2021,11,123881,vasastan,134,5,
sigtunagatan 4,422,2.0,2400000, 1 december 2021,2,218182,vasastan,11,1,
karlbergsvägen 11,3363,2.0,10800000, 30 november 2021,11,133333,vasastan,81,3,
torsgatan 46,2567,3.0,16200000, 30 november 2021,25,147273,vasastan,110,4,4
birkagatan 14,1418,3.0,9000000, 30 november 2021,13,142857,vasastan,63,3,
tomtebogatan 11,2749,,9250000, 30 november 2021,19,130282,vasastan,71,2,
ingemarsgatan 3b,1749,2.0,4300000, 30 november 2021,23,122857,vasastan,35,2,5
sveavägen 121a,2991,,6835000, 30 november 2021,24,119912,vasastan,57,2,4
döbelnsgatan 53a,2040,1.0,8250000, 30 november 2021,22,144737,vasastan,57,2,3
tulegatan 23 b,2869,,10700000, 30 november 2021,13,137179,vasastan,78,3,2
frejgatan 37,3477,3.0,6725000, 29 november 2021,4,100373,vasastan,67,2,3
torsplan 8,6226,3.0,11500000, 29 november 2021,-1,100877,vasastan,114,5,3
robert almströmsgatan 10,3826,3.0,13400000, 29 november 2021,19,139583,vasastan,96,3,4
