adress,location,size:rooms,fee,features,sale_price,sold_date,value_dev,ppsqm,district
frejgatan 50,"vasastan, stockholms kommun",42 m²   2 rum,2 391 kr/mån,balkong,slutpris 6 450 000 kr,såld 15 januari 2022,null,153 571 kr/m²,vasastan
"tre liljor 5b, 3,5tr","vasastan, stockholms kommun","37 m²   1,5 rum",1 998 kr/mån,balkong&hiss,slutpris 4 650 000 kr,såld 15 januari 2022,+16 %,125 676 kr/m²,vasastan
rådmansgatan 86,"vasastan, stockholms kommun",59 m²   2 rum,2 021 kr/mån,uteplats,slutpris 7 200 000 kr,såld 15 januari 2022,+13 %,122 034 kr/m²,vasastan
sankt eriksgatan 109,"vasastaden, stockholms kommun",25 m²   1 rum,436 kr/mån,hiss,slutpris 3 150 000 kr,såld 14 januari 2022,+19 %,126 000 kr/m²,vasastan
sveavägen 117b,"vasastan, stockholms kommun","36 m²   1,5 rum",1 273 kr/mån,null,slutpris 4 200 000 kr,såld 14 januari 2022,+17 %,116 667 kr/m²,vasastan
"torsgatan 58, 1,5 tr","vasastan - s:t eriksplan, stockholms kommun",31 m²   1 rum,1 733 kr/mån,hiss,slutpris 3 435 000 kr,såld 14 januari 2022,+15 %,110 806 kr/m²,vasastan
"torsplan 8, vån 9","hagastaden, stockholms kommun",65 m²   3 rum,3 950 kr/mån,balkong&hiss,slutpris 10 000 000 kr,såld 14 januari 2022,+11 %,153 846 kr/m²,vasastan
"tomtebogatan 40, 2tr","vasastan - birkastan, stockholms kommun",36 m²   2 rum,1 922 kr/mån,balkong&hiss,slutpris 4 850 000 kr,såld 14 januari 2022,134 722 kr/m²,,vasastan
"tulegatan 27, 2tr","vasastan, stockholms kommun",25 m²   1 rum,680 kr/mån,balkong&hiss,slutpris 3 650 000 kr,såld 14 januari 2022,+22 %,146 000 kr/m²,vasastan
sankt eriksplan 5,"vasastan - st eriksplan, stockholms kommun",59 m²   2 rum,2 084 kr/mån,balkong&hiss,slutpris 8 000 000 kr,såld 14 januari 2022,+15 %,135 593 kr/m²,vasastan
"bråvallagatan 7, kungsbalkong!","vasastan - birkastan, stockholms kommun","34,5 m²   1,5 rum",2 020 kr/mån,balkong&hiss,slutpris 5 500 000 kr,såld 14 januari 2022,+38 %,159 420 kr/m²,vasastan
vanadisvägen 4 k,"vasastaden, stockholms kommun","41 m²   1,5 rum",1 868 kr/mån,balkong&hiss,slutpris 4 400 000 kr,såld 14 januari 2022,+14 %,107 317 kr/m²,vasastan
"hagagatan 18a, 2 tr","vasastan, stockholms kommun",50 m²   2 rum,2 724 kr/mån,balkong,slutpris 6 200 000 kr,såld 14 januari 2022,+7 %,124 000 kr/m²,vasastan
"dalagatan 35c, 4+5tr","vasastaden, stockholms kommun",87 m²   3 rum,3 922 kr/mån,balkong&hiss,slutpris 12 810 000 kr,såld 13 januari 2022,+22 %,147 241 kr/m²,vasastan
"hagagatan 8, 2 tr ög","vasastan, stockholms kommun",28 m²   1 rum,1 280 kr/mån,balkong,slutpris 4 350 000 kr,såld 13 januari 2022,+14 %,155 357 kr/m²,vasastan
drejargatan 4,"vasastan, stockholms kommun",26 m²   1 rum,1 199 kr/mån,hiss,slutpris 3 380 000 kr,såld 13 januari 2022,null,130 000 kr/m²,vasastan
ingemarsgatan 3b,"vasastan - sibirien, stockholms kommun",36 m²   2 rum,1 780 kr/mån,hiss,slutpris 4 150 000 kr,såld 13 januari 2022,+19 %,115 278 kr/m²,vasastan
"vegagatan 3, 3tr","vasastan, stockholms kommun",125 m²   4 rum,4 285 kr/mån,balkong&hiss,slutpris 17 250 000 kr,såld 13 januari 2022,+10 %,138 000 kr/m²,vasastan
"roslagsgatan 54, 3 tr","sibirien/vasastan, stockholms kommun",24 m²   1 rum,1 509 kr/mån,hiss,slutpris 3 300 000 kr,såld 13 januari 2022,+32 %,137 500 kr/m²,vasastan
torsplan 8,"torsplan, stockholms kommun",59 m²   2 rum,3 657 kr/mån,balkong&hiss,slutpris 7 250 000 kr,såld 13 januari 2022,+12 %,122 881 kr/m²,vasastan
"norrtullsgatan 63, 4 tr","vasastan, stockholms kommun",56 m²   2 rum,2 800 kr/mån,balkong&hiss,slutpris 5 550 000 kr,såld 13 januari 2022,+11 %,99 107 kr/m²,vasastan
