adress,fee,features,sale_price,sold_date,value_dev,ppsqm,district,size,rooms,floor
frejgatan 50,2391,1.0,6 450 000, 15 januari 2022,,153 571,vasastan,42 , 2,
tre liljor 5b,1998,3.0,4 650 000, 15 januari 2022,16,125 676,vasastan,37 ," 1,5",3
rådmansgatan 86,2021,4.0,7 200 000, 15 januari 2022,13,122 034,vasastan,59 , 2,
sankt eriksgatan 109,436,2.0,3 150 000, 14 januari 2022,19,126 000,vasastan,25 , 1,
sveavägen 117b,1273,,4 200 000, 14 januari 2022,17,116 667,vasastan,36 ," 1,5",
torsgatan 58,1733,2.0,3 435 000, 14 januari 2022,15,110 806,vasastan,31 , 1,1
torsplan 8,3950,3.0,10 000 000, 14 januari 2022,11,153 846,vasastan,65 , 3,9
tulegatan 27,680,3.0,3 650 000, 14 januari 2022,22,146 000,vasastan,25 , 1,2
sankt eriksplan 5,2084,3.0,8 000 000, 14 januari 2022,15,135 593,vasastan,59 , 2,
bråvallagatan 7,2020,3.0,5 500 000, 14 januari 2022,38,159 420,vasastan,"34,5 "," 1,5",
vanadisvägen 4 k,1868,3.0,4 400 000, 14 januari 2022,14,107 317,vasastan,41 ," 1,5",
hagagatan 18a,2724,1.0,6 200 000, 14 januari 2022,7,124 000,vasastan,50 , 2,2
dalagatan 35c,3922,3.0,12 810 000, 13 januari 2022,22,147 241,vasastan,87 , 3,4
hagagatan 8,1280,1.0,4 350 000, 13 januari 2022,14,155 357,vasastan,28 , 1,2
drejargatan 4,1199,2.0,3 380 000, 13 januari 2022,,130 000,vasastan,26 , 1,
ingemarsgatan 3b,1780,2.0,4 150 000, 13 januari 2022,19,115 278,vasastan,36 , 2,
vegagatan 3,4285,3.0,17 250 000, 13 januari 2022,10,138 000,vasastan,125 , 4,3
roslagsgatan 54,1509,2.0,3 300 000, 13 januari 2022,32,137 500,vasastan,24 , 1,3
torsplan 8,3657,3.0,7 250 000, 13 januari 2022,12,122 881,vasastan,59 , 2,
norrtullsgatan 63,2800,3.0,5 550 000, 13 januari 2022,11,99 107,vasastan,56 , 2,4
rörstrandsgatan 3,2333,2.0,10 600 000, 12 januari 2022,12,102 913,vasastan,103 ," 3,5",
lästmakargatan 18,2338,2.0,5 020 000, 12 januari 2022,14,120 964,vasastan,"41,5 ", 1,4
norra stationsgatan 117,1808,1.0,3 800 000, 12 januari 2022,27,122 581,vasastan,31 , 1,4
sankt eriksgatan 65,4048,2.0,8 950 000, 12 januari 2022,5,104 070,vasastan,86 , 2,3
dalagatan 78c,1862,,5 100 000, 12 januari 2022,19,108 511,vasastan,47 , 2,
upplandsgatan 34,2415,3.0,7 300 000, 12 januari 2022,28,130 357,vasastan,56 , 2,6
norrtullsgatan 16 b,2305,3.0,7 275 000, 12 januari 2022,18,108 582,vasastan,67 , 3,6
odengatan 92,839,2.0,5 620 000, 12 januari 2022,41,151 892,vasastan,37 , 1,4
idungatan 5,2022,3.0,4 520 000, 12 januari 2022,21,115 897,vasastan,39 , 2,4
västmannagatan 50,3701,,5 700 000, 12 januari 2022,25,95 000,vasastan,60 , 2,5
hagagatan 8a,1280,1.0,4 250 000, 11 januari 2022,33,157 407,vasastan,27 , 2,
torsplan 8,4908,3.0,11 200 000, 11 januari 2022,7,131 765,vasastan,85 , 4,6
sveavägen 83,850,2.0,3 200 000, 11 januari 2022,31,139 130,vasastan,23 , 1,
karlbergsvägen 66a,4819,,12 750 000, 11 januari 2022,7,132 813,vasastan,96 , 4,
markvardsgatan 6a,1660,3.0,4 900 000, 11 januari 2022,±0,144 118,vasastan,34 , 2,
rådmansgatan 73,3623,3.0,15 100 000, 10 januari 2022,26,139 815,vasastan,108 , 3,4
emmy rappes gata 3,3977,2.0,6 995 000, 10 januari 2022,±0,105 985,vasastan,66 , 2,3
sveavägen 140,600,2.0,3 200 000, 10 januari 2022,23,133 333,vasastan,24 , 1,
rådmansgatan 75,2085,2.0,4 400 000, 10 januari 2022,11,125 714,vasastan,35 , 1,
rörstrandsgatan 42a,2252,1.0,7 800 000, 10 januari 2022,16,136 842,vasastan,57 , 3,
dalagatan 70,3086,1.0,9 800 000, 8 januari 2022,11,122 500,vasastan,80 , 4,4
völundsgatan 11,2147,2.0,4 600 000, 7 januari 2022,±0,121 053,vasastan,38 , 2,
